exp_tag,seed,Acc2_pri,Acc2_sec,Acc2_ter,MAE_pri,MAE_sec,MAE_ter,Acc7_pri,Acc7_sec,Acc7_ter
gs1_lr1e-4_dp0.1,42,0.8490853658536586,0.8490853658536586,0.8551829268292683,0.7299292087554932,0.7570013999938965,0.7161359190940857,0.4518950437317784,0.4139941690962099,0.4446064139941691
gs1_lr1e-4_dp0.3,42,0.8521341463414634,0.8475609756097561,0.8521341463414634,0.7216387391090393,0.7242881059646606,0.7216387391090393,0.45626822157434405,0.46647230320699706,0.45626822157434405
gs1_lr1e-4_dp0.5,42,0.8490853658536586,0.8429878048780488,0.8521341463414634,0.723774254322052,0.7586065530776978,0.7295646071434021,0.45918367346938777,0.43002915451895046,0.43440233236151604
gs1_lr1e-4_dp0.7,42,0.8612804878048781,0.8399390243902439,0.8338414634146342,0.7154281139373779,0.7167222499847412,0.7494526505470276,0.4518950437317784,0.45626822157434405,0.4329446064139942
gs1_lr1e-4_dp0.9,42,0.8429878048780488,0.8338414634146342,0.8429878048780488,0.7342198491096497,0.760145902633667,0.7342198491096497,0.4489795918367347,0.41545189504373176,0.4489795918367347
gs1_lr3e-4_dp0.1,42,0.8460365853658537,0.8445121951219512,0.8490853658536586,0.7408179640769958,0.73704993724823,0.734460175037384,0.4518950437317784,0.4606413994169096,0.45481049562682213
gs1_lr3e-4_dp0.3,42,0.8551829268292683,0.8521341463414634,0.8521341463414634,0.708545982837677,0.7365642786026001,0.7365642786026001,0.4577259475218659,0.4402332361516035,0.4402332361516035
gs1_lr3e-4_dp0.5,42,0.8445121951219512,0.8307926829268293,0.8475609756097561,0.7211089134216309,0.7796079516410828,0.7481767535209656,0.4606413994169096,0.4067055393586006,0.4314868804664723
gs1_lr3e-4_dp0.7,42,0.8521341463414634,0.8536585365853658,0.8292682926829268,0.7174415588378906,0.7479591369628906,0.801479160785675,0.446064139941691,0.42128279883381925,0.41545189504373176
gs1_lr3e-4_dp0.9,42,0.8292682926829268,0.8384146341463414,0.8445121951219512,0.7441970109939575,0.7373799085617065,0.7263559699058533,0.4387755102040816,0.4387755102040816,0.44752186588921283
gs1_lr5e-4_dp0.1,42,0.8567073170731707,0.8536585365853658,0.8521341463414634,0.7203994989395142,0.7546890377998352,0.7630967497825623,0.45626822157434405,0.4314868804664723,0.4271137026239067
gs1_lr5e-4_dp0.3,42,0.8399390243902439,0.8475609756097561,0.8399390243902439,0.725176990032196,0.7618700265884399,0.7306841611862183,0.4518950437317784,0.42565597667638483,0.4620991253644315
gs1_lr5e-4_dp0.5,42,0.8628048780487805,0.850609756097561,0.8521341463414634,0.7244921326637268,0.7350095510482788,0.7316226959228516,0.45626822157434405,0.45481049562682213,0.4489795918367347
gs1_lr5e-4_dp0.7,42,0.8597560975609756,0.8597560975609756,0.850609756097561,0.7010095119476318,0.7010095119476318,0.7174849510192871,0.4650145772594752,0.4650145772594752,0.44169096209912534
gs1_lr5e-4_dp0.9,42,0.8384146341463414,0.8429878048780488,0.8323170731707317,0.7197624444961548,0.7690447568893433,0.7711145281791687,0.46938775510204084,0.4110787172011662,0.4096209912536443
gs1_lr7e-4_dp0.1,42,0.8536585365853658,0.8536585365853658,0.8475609756097561,0.7321593761444092,0.7534605264663696,0.7545305490493774,0.4752186588921283,0.43440233236151604,0.44752186588921283
gs1_lr7e-4_dp0.3,42,0.8475609756097561,0.850609756097561,0.8460365853658537,0.7496094107627869,0.7488237619400024,0.7648046612739563,0.4620991253644315,0.4620991253644315,0.4358600583090379
gs1_lr7e-4_dp0.5,42,0.8551829268292683,0.8536585365853658,0.8445121951219512,0.7231042385101318,0.7333253026008606,0.7413210272789001,0.446064139941691,0.4489795918367347,0.446064139941691
gs1_lr7e-4_dp0.7,42,0.8551829268292683,0.8399390243902439,0.8475609756097561,0.7027803063392639,0.7399250268936157,0.7486782073974609,0.46355685131195334,0.4358600583090379,0.43731778425655976
gs1_lr7e-4_dp0.9,42,0.836890243902439,0.8323170731707317,0.8323170731707317,0.741454005241394,0.8533316254615784,0.7512862086296082,0.44314868804664725,0.380466472303207,0.42565597667638483
gs1_lr9e-4_dp0.1,42,0.8551829268292683,0.836890243902439,0.8125,0.726169228553772,0.7257021069526672,0.8486039638519287,0.45481049562682213,0.45335276967930027,0.39067055393586003
gs1_lr9e-4_dp0.3,42,0.850609756097561,0.850609756097561,0.8551829268292683,0.7587411999702454,0.7587411999702454,0.7538509368896484,0.44314868804664725,0.44314868804664725,0.4577259475218659
gs1_lr9e-4_dp0.5,42,0.8460365853658537,0.8536585365853658,0.8399390243902439,0.7089675664901733,0.7280364036560059,0.7313455939292908,0.4606413994169096,0.4489795918367347,0.45481049562682213
gs1_lr9e-4_dp0.7,42,0.8384146341463414,0.850609756097561,0.8612804878048781,0.7246431708335876,0.7122006416320801,0.7259871363639832,0.45043731778425655,0.4446064139941691,0.44314868804664725
gs1_lr9e-4_dp0.9,42,0.8490853658536586,0.8292682926829268,0.8536585365853658,0.7305449843406677,0.7991176247596741,0.7746670842170715,0.4446064139941691,0.41253644314868804,0.41836734693877553
gs1_lr11e-4_dp0.1,42,0.8323170731707317,0.8140243902439024,0.8475609756097561,0.7743231058120728,0.9447146058082581,0.7417253255844116,0.4358600583090379,0.32215743440233235,0.45043731778425655
gs1_lr11e-4_dp0.3,42,0.8475609756097561,0.850609756097561,0.8612804878048781,0.7255344390869141,0.7137483358383179,0.7574124932289124,0.45918367346938777,0.46647230320699706,0.4489795918367347
gs1_lr11e-4_dp0.5,42,0.8536585365853658,0.8277439024390244,0.8353658536585366,0.7217035293579102,0.7721353769302368,0.7615629434585571,0.4402332361516035,0.41836734693877553,0.4446064139941691
gs1_lr11e-4_dp0.7,42,0.8460365853658537,0.8414634146341463,0.8460365853658537,0.7523385286331177,0.7560780644416809,0.7523385286331177,0.43002915451895046,0.4037900874635568,0.43002915451895046
gs1_lr11e-4_dp0.9,42,0.8216463414634146,0.8445121951219512,0.8216463414634146,0.8337637186050415,0.7845526337623596,0.8337637186050415,0.37755102040816324,0.41253644314868804,0.37755102040816324
