exp_tag,seed,Acc2_pri,Acc2_sec,Acc2_ter,MAE_pri,MAE_sec,MAE_ter,Acc7_pri,Acc7_sec,Acc7_ter
gs1_OpenFace3_lr1e-4_dp0.1_wd1e-5,42,0.8201219512195121,0.836890243902439,0.8414634146341463,0.7950995564460754,0.7833177447319031,0.782913088798523,0.4329446064139942,0.4096209912536443,0.4067055393586006
gs1_Original_FACET_lr1e-4_dp0.1_wd1e-5,42,0.8384146341463414,0.836890243902439,0.836890243902439,0.8430485129356384,0.7930724024772644,0.7930724024772644,0.3892128279883382,0.4008746355685131,0.4008746355685131
gs1_DINOv3_lr1e-4_dp0.1_wd1e-5,42,0.8201219512195121,0.8414634146341463,0.8414634146341463,0.8695356845855713,0.7967947721481323,0.7967947721481323,0.3556851311953353,0.39941690962099125,0.39941690962099125
gs1_OpenFace3_lr1e-4_dp0.1_wd1e-4,42,0.8521341463414634,0.8399390243902439,0.8414634146341463,0.7347395420074463,0.7602564096450806,0.7720672488212585,0.4620991253644315,0.446064139941691,0.4096209912536443
gs1_Original_FACET_lr1e-4_dp0.1_wd1e-4,42,0.8384146341463414,0.836890243902439,0.836890243902439,0.8430307507514954,0.794284462928772,0.794284462928772,0.3892128279883382,0.40233236151603496,0.40233236151603496
gs1_DINOv3_lr1e-4_dp0.1_wd1e-4,42,0.8201219512195121,0.8414634146341463,0.8246951219512195,0.8695011138916016,0.7963764667510986,0.8171786069869995,0.3556851311953353,0.4008746355685131,0.38629737609329445
gs1_OpenFace3_lr1e-4_dp0.1_wd1e-3,42,0.8201219512195121,0.8429878048780488,0.8429878048780488,0.7955017685890198,0.776618242263794,0.776618242263794,0.43002915451895046,0.4110787172011662,0.4110787172011662
gs1_Original_FACET_lr1e-4_dp0.1_wd1e-3,42,0.8384146341463414,0.8353658536585366,0.8353658536585366,0.8430486917495728,0.7926464676856995,0.7926464676856995,0.3892128279883382,0.40233236151603496,0.40233236151603496
gs1_DINOv3_lr1e-4_dp0.1_wd1e-3,42,0.8201219512195121,0.8414634146341463,0.8414634146341463,0.8694360852241516,0.796536386013031,0.796536386013031,0.3556851311953353,0.4008746355685131,0.4008746355685131
gs1_OpenFace3_lr1e-4_dp0.3_wd1e-5,42,0.8246951219512195,0.8262195121951219,0.8262195121951219,0.8737049102783203,0.7892804741859436,0.7892804741859436,0.3760932944606414,0.42419825072886297,0.42419825072886297
gs1_Original_FACET_lr1e-4_dp0.3_wd1e-5,42,0.836890243902439,0.836890243902439,0.836890243902439,0.8547041416168213,0.8016840815544128,0.8016840815544128,0.38338192419825073,0.4110787172011662,0.4110787172011662
gs1_DINOv3_lr1e-4_dp0.3_wd1e-5,42,0.8414634146341463,0.8185975609756098,0.8185975609756098,0.7762942314147949,0.8263338208198547,0.8263338208198547,0.39212827988338195,0.3629737609329446,0.3629737609329446
gs1_OpenFace3_lr1e-4_dp0.3_wd1e-4,42,0.8384146341463414,0.8353658536585366,0.850609756097561,0.7337110638618469,0.7606452107429504,0.7388454079627991,0.45043731778425655,0.4314868804664723,0.4358600583090379
gs1_Original_FACET_lr1e-4_dp0.3_wd1e-4,42,0.836890243902439,0.836890243902439,0.836890243902439,0.8546920418739319,0.8016919493675232,0.8016919493675232,0.38338192419825073,0.41253644314868804,0.41253644314868804
gs1_DINOv3_lr1e-4_dp0.3_wd1e-4,42,0.8414634146341463,0.8201219512195121,0.8201219512195121,0.7764876484870911,0.8282303214073181,0.8282303214073181,0.39212827988338195,0.3673469387755102,0.3673469387755102
gs1_OpenFace3_lr1e-4_dp0.3_wd1e-3,42,0.8384146341463414,0.8323170731707317,0.8384146341463414,0.7330127358436584,0.7617946267127991,0.7330127358436584,0.44752186588921283,0.42857142857142855,0.44752186588921283
gs1_Original_FACET_lr1e-4_dp0.3_wd1e-3,42,0.836890243902439,0.836890243902439,0.836890243902439,0.8546972870826721,0.8014900088310242,0.8014900088310242,0.38338192419825073,0.4096209912536443,0.4096209912536443
gs1_DINOv3_lr1e-4_dp0.3_wd1e-3,42,0.8414634146341463,0.8216463414634146,0.8216463414634146,0.7764479517936707,0.827880322933197,0.827880322933197,0.39212827988338195,0.3673469387755102,0.3673469387755102
