epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5787,0.6026,0.2096,0.2096,0.146,0.437,0.4652,1.161,1.3969,1.0655
2,0.6019,0.6201,0.2445,0.2271,0.4471,0.528,0.5486,1.0273,1.2588,0.9591
3,0.8287,0.8122,0.3755,0.3013,0.6998,0.8277,0.8121,0.7129,0.9364,0.6777
4,0.8241,0.786,0.3712,0.3013,0.7276,0.825,0.7879,0.7004,0.9252,0.5188
5,0.8611,0.8384,0.393,0.3144,0.7517,0.8598,0.838,0.6414,0.8677,0.4301
6,0.8565,0.8253,0.4672,0.3755,0.7548,0.8571,0.827,0.625,0.839,0.3699
7,0.8333,0.8035,0.4672,0.3712,0.7697,0.834,0.8053,0.5994,0.8205,0.2903
8,0.8519,0.8253,0.4541,0.3843,0.7776,0.8511,0.8256,0.5849,0.7933,0.2591
9,0.8472,0.821,0.5328,0.4279,0.7701,0.8473,0.8221,0.5837,0.7939,0.2228
10,0.8565,0.8341,0.4934,0.3886,0.7711,0.8564,0.8348,0.5837,0.8029,0.1983
11,0.8472,0.821,0.5022,0.4105,0.7789,0.8471,0.8219,0.5751,0.7817,0.1875
12,0.8519,0.8166,0.4585,0.3624,0.7892,0.8525,0.8183,0.5582,0.7794,0.165
13,0.8287,0.7904,0.4891,0.393,0.7756,0.8294,0.7924,0.5813,0.8012,0.1534
14,0.8472,0.8079,0.5371,0.4672,0.7821,0.8479,0.8097,0.5473,0.7546,0.1513
15,0.8333,0.8035,0.5328,0.4541,0.7794,0.8333,0.8047,0.5473,0.7591,0.1299
16,0.8426,0.8166,0.5066,0.4192,0.7899,0.8421,0.8172,0.5295,0.7417,0.1146
17,0.8565,0.8297,0.4847,0.3843,0.7804,0.8566,0.8308,0.5538,0.7672,0.1029
18,0.8426,0.8166,0.5502,0.4498,0.7782,0.8418,0.8169,0.5447,0.7497,0.0947
19,0.8472,0.8166,0.5459,0.4367,0.7853,0.8475,0.818,0.5277,0.7315,0.0949
20,0.8426,0.821,0.5066,0.3974,0.7752,0.8424,0.8217,0.5538,0.7555,0.0838
21,0.8333,0.8035,0.5197,0.4192,0.7872,0.8336,0.8049,0.534,0.7477,0.0764
22,0.8426,0.821,0.5371,0.4367,0.7768,0.8421,0.8214,0.5453,0.7506,0.0699
23,0.8472,0.8253,0.524,0.4498,0.7775,0.8471,0.8261,0.5648,0.7682,0.0743
24,0.8426,0.8122,0.5284,0.4236,0.7741,0.8428,0.8136,0.5484,0.7574,0.071
25,0.8472,0.821,0.5109,0.4017,0.7895,0.8469,0.8217,0.5276,0.7414,0.0716
26,0.8519,0.8253,0.4803,0.3974,0.7875,0.8516,0.8261,0.5389,0.7499,0.0652
27,0.8565,0.8297,0.524,0.4236,0.7789,0.8566,0.8308,0.5468,0.7579,0.0614
28,0.8519,0.8297,0.524,0.4279,0.789,0.8519,0.8306,0.5174,0.7251,0.0548
29,0.8565,0.8341,0.5459,0.4585,0.7952,0.8559,0.8343,0.5311,0.7334,0.052
30,0.8426,0.8122,0.5066,0.4105,0.7861,0.8426,0.8134,0.536,0.7462,0.0511
31,0.8287,0.8035,0.5633,0.4803,0.7914,0.8286,0.8045,0.5276,0.7297,0.0491
32,0.8333,0.8122,0.5109,0.4105,0.7821,0.8331,0.813,0.5452,0.7586,0.0465
33,0.8519,0.8341,0.5633,0.4716,0.7908,0.8516,0.8346,0.5137,0.7147,0.0491
34,0.8426,0.821,0.5197,0.4236,0.7878,0.8426,0.8219,0.5326,0.7415,0.0516
35,0.8519,0.8297,0.5459,0.4498,0.7876,0.852,0.8308,0.5179,0.7234,0.0502
36,0.8472,0.8166,0.5197,0.4236,0.7898,0.8475,0.818,0.5224,0.7256,0.0434
37,0.838,0.8122,0.4978,0.4017,0.7931,0.8381,0.8134,0.5217,0.7253,0.0413
38,0.8472,0.821,0.4978,0.3974,0.7835,0.8473,0.8221,0.542,0.7544,0.0457
39,0.8611,0.8253,0.4891,0.3843,0.7895,0.8616,0.8269,0.5424,0.7574,0.0382
40,0.8472,0.8253,0.5328,0.4323,0.7892,0.8469,0.8259,0.537,0.7407,0.0406
41,0.8472,0.821,0.5109,0.4148,0.7893,0.8473,0.8221,0.5325,0.7415,0.0388
42,0.8519,0.8297,0.5677,0.4847,0.7885,0.8516,0.8304,0.5203,0.7249,0.0411
43,0.8565,0.8253,0.5066,0.4017,0.7926,0.8569,0.8268,0.5207,0.7288,0.034
44,0.8565,0.8253,0.5546,0.4498,0.7846,0.8566,0.8265,0.5272,0.7297,0.0334
45,0.8472,0.8166,0.5109,0.4105,0.7857,0.8475,0.818,0.5291,0.7406,0.0338
46,0.8472,0.821,0.5502,0.441,0.7954,0.8471,0.8219,0.5145,0.7214,0.0355
47,0.8426,0.8122,0.5066,0.4105,0.782,0.8428,0.8136,0.5365,0.7467,0.0332
48,0.8426,0.821,0.5502,0.4541,0.7879,0.8424,0.8217,0.519,0.7279,0.0336
49,0.8519,0.8253,0.5197,0.4148,0.7945,0.8519,0.8263,0.5141,0.721,0.0307
50,0.8565,0.8297,0.4891,0.3886,0.7917,0.8568,0.8309,0.5295,0.7406,0.0332
51,0.8565,0.8297,0.5284,0.4454,0.7862,0.8566,0.8308,0.5268,0.7349,0.0333
52,0.8426,0.821,0.524,0.4279,0.7934,0.8426,0.8219,0.5192,0.7218,0.03
53,0.8426,0.8166,0.5415,0.4323,0.7913,0.8424,0.8174,0.5233,0.732,0.0284
54,0.8472,0.821,0.4978,0.3974,0.7902,0.8475,0.8223,0.5297,0.7438,0.0287
55,0.8519,0.8253,0.5109,0.4017,0.7952,0.852,0.8265,0.516,0.7284,0.0291
56,0.8472,0.821,0.5459,0.4454,0.7907,0.8471,0.8219,0.5173,0.7257,0.0293
57,0.8519,0.8253,0.5153,0.4105,0.7949,0.852,0.8265,0.5214,0.7325,0.0272
58,0.8565,0.8253,0.4847,0.3755,0.7901,0.8569,0.8268,0.5256,0.7369,0.0284
59,0.8565,0.8253,0.5284,0.4192,0.7941,0.8568,0.8267,0.5193,0.732,0.0235
60,0.8565,0.8253,0.5066,0.393,0.7955,0.8569,0.8268,0.5172,0.7315,0.0243
61,0.8426,0.821,0.5109,0.4061,0.7895,0.8428,0.8221,0.5272,0.7369,0.0258
62,0.8519,0.821,0.524,0.4105,0.7815,0.8522,0.8224,0.538,0.7447,0.0231
63,0.8472,0.8166,0.4978,0.393,0.7892,0.8475,0.818,0.5284,0.7415,0.0249
