epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5926,0.6157,0.2096,0.2096,0.1626,0.5257,0.5496,1.1514,1.3845,1.0766
2,0.6991,0.7118,0.2227,0.2227,0.4252,0.6925,0.705,1.0486,1.2788,0.9715
3,0.7731,0.7686,0.3188,0.2707,0.6441,0.7695,0.7657,0.8114,1.0382,0.7667
4,0.838,0.8079,0.3886,0.3231,0.7331,0.8388,0.8097,0.6742,0.9042,0.5657
5,0.875,0.8515,0.4585,0.3755,0.7515,0.8751,0.8524,0.6219,0.8389,0.447
6,0.8704,0.8428,0.4454,0.3581,0.7449,0.871,0.8443,0.6359,0.8537,0.3648
7,0.8611,0.8384,0.4498,0.3624,0.7686,0.8609,0.8391,0.5938,0.8079,0.2935
8,0.8657,0.8428,0.4847,0.3886,0.7564,0.8658,0.8437,0.6036,0.8216,0.2426
9,0.8519,0.8166,0.4716,0.3886,0.7579,0.8526,0.8184,0.5929,0.8043,0.2097
10,0.8657,0.8428,0.476,0.3799,0.772,0.8652,0.8431,0.5761,0.7923,0.2004
11,0.8519,0.8341,0.4672,0.3843,0.759,0.8508,0.8338,0.6105,0.8259,0.182
12,0.8565,0.8297,0.4847,0.393,0.7778,0.8559,0.8301,0.5571,0.7707,0.1676
13,0.8565,0.821,0.4934,0.4017,0.7688,0.8573,0.8227,0.6084,0.8227,0.1449
14,0.8704,0.8428,0.524,0.4279,0.7861,0.8702,0.8435,0.5395,0.7479,0.1505
15,0.8796,0.8515,0.5022,0.4061,0.7814,0.8799,0.8527,0.5488,0.7605,0.1231
16,0.8611,0.8384,0.4978,0.4061,0.7691,0.8604,0.8386,0.5854,0.7915,0.1105
17,0.8657,0.8341,0.4978,0.4192,0.7783,0.866,0.8353,0.568,0.7844,0.1103
18,0.8611,0.8384,0.4541,0.3712,0.7701,0.8613,0.8395,0.5854,0.8058,0.097
19,0.838,0.8166,0.4803,0.393,0.7668,0.837,0.8166,0.5754,0.7852,0.0941
20,0.8565,0.8341,0.4803,0.3886,0.7735,0.8566,0.835,0.5618,0.7723,0.0874
21,0.8611,0.8253,0.4803,0.3886,0.7858,0.8618,0.827,0.5688,0.7863,0.0795
22,0.8565,0.8297,0.476,0.3974,0.7845,0.8566,0.8308,0.5591,0.7735,0.0852
23,0.8611,0.8297,0.4934,0.3886,0.7858,0.8615,0.8311,0.5428,0.7626,0.0787
24,0.8657,0.8428,0.4934,0.393,0.7823,0.8658,0.8437,0.5493,0.7613,0.0675
25,0.8565,0.8297,0.5328,0.4367,0.7877,0.8568,0.8309,0.5339,0.7431,0.0677
26,0.8704,0.8428,0.5066,0.4105,0.7856,0.8707,0.844,0.5408,0.7523,0.0599
27,0.8565,0.8297,0.5109,0.4017,0.794,0.8566,0.8308,0.5227,0.7295,0.0582
28,0.8657,0.8428,0.5022,0.4061,0.7937,0.8656,0.8435,0.527,0.7422,0.053
29,0.8611,0.8384,0.5546,0.4629,0.7915,0.8609,0.8391,0.5217,0.7279,0.0515
30,0.8611,0.8384,0.5371,0.4367,0.7904,0.8613,0.8395,0.5185,0.729,0.0515
31,0.8565,0.8341,0.5197,0.4279,0.7884,0.8568,0.8352,0.5249,0.7316,0.0457
32,0.8704,0.8472,0.5459,0.4454,0.7931,0.8704,0.848,0.5191,0.729,0.0524
33,0.8657,0.8428,0.524,0.4454,0.793,0.866,0.8439,0.5169,0.7235,0.0441
34,0.8657,0.8384,0.5328,0.4279,0.7887,0.8661,0.8397,0.526,0.7348,0.0456
35,0.8519,0.8297,0.4978,0.3974,0.8007,0.852,0.8308,0.5183,0.7315,0.0422
36,0.8657,0.8384,0.5066,0.4061,0.7937,0.8663,0.8398,0.5291,0.7455,0.0446
37,0.8565,0.8341,0.5153,0.4148,0.793,0.8568,0.8352,0.5294,0.7424,0.0428
38,0.8565,0.8341,0.5153,0.4236,0.7956,0.8564,0.8348,0.5292,0.7397,0.0385
39,0.8565,0.8341,0.5502,0.4498,0.79,0.8566,0.835,0.5224,0.7361,0.0412
40,0.8611,0.8341,0.524,0.4192,0.7834,0.8611,0.835,0.5297,0.7435,0.0374
41,0.8426,0.8166,0.4934,0.3974,0.7821,0.843,0.818,0.5329,0.7419,0.0368
42,0.8611,0.8384,0.5328,0.4323,0.7933,0.8611,0.8393,0.517,0.7283,0.0394
43,0.8565,0.8341,0.5546,0.4672,0.794,0.8566,0.835,0.5155,0.7211,0.0339
44,0.8519,0.8297,0.524,0.4279,0.7856,0.852,0.8308,0.5351,0.7535,0.033
45,0.8565,0.8341,0.5633,0.4585,0.7864,0.8564,0.8348,0.5181,0.7295,0.0338
46,0.8611,0.8384,0.5721,0.4672,0.79,0.8609,0.8391,0.5172,0.729,0.0314
47,0.8611,0.8341,0.5284,0.4236,0.788,0.8611,0.835,0.5239,0.7331,0.032
48,0.8565,0.8341,0.5328,0.4323,0.791,0.8566,0.835,0.5106,0.7187,0.0328
49,0.8565,0.8341,0.5415,0.4454,0.79,0.8566,0.835,0.5145,0.7218,0.0308
50,0.8611,0.8384,0.5415,0.441,0.7876,0.8611,0.8393,0.5176,0.7297,0.0304
51,0.8611,0.8384,0.559,0.4585,0.7891,0.8611,0.8393,0.5106,0.716,0.0297
52,0.8565,0.8253,0.5109,0.4061,0.7851,0.8566,0.8265,0.526,0.7363,0.0318
53,0.8565,0.8297,0.524,0.4236,0.7825,0.8566,0.8308,0.5276,0.7389,0.0306
54,0.8611,0.8384,0.5284,0.4279,0.786,0.8611,0.8393,0.527,0.7397,0.0277
55,0.8611,0.8384,0.5328,0.4323,0.791,0.8611,0.8393,0.5249,0.7392,0.0237
56,0.8565,0.8341,0.5502,0.4454,0.7871,0.8566,0.835,0.5206,0.734,0.0281
57,0.8611,0.8384,0.524,0.4236,0.7803,0.8611,0.8393,0.547,0.7628,0.0246
58,0.8565,0.8341,0.5328,0.4323,0.7884,0.8566,0.835,0.5287,0.7451,0.0251
59,0.8565,0.8341,0.5502,0.4498,0.7898,0.8564,0.8348,0.5195,0.732,0.0254
60,0.8565,0.8341,0.5502,0.4498,0.7888,0.8566,0.835,0.5187,0.7313,0.0239
61,0.8519,0.8297,0.5371,0.4367,0.7899,0.8519,0.8306,0.5166,0.7298,0.0243
62,0.8565,0.8341,0.524,0.4236,0.794,0.8564,0.8348,0.5111,0.7221,0.0242
63,0.8519,0.8297,0.5371,0.4367,0.7929,0.8519,0.8306,0.519,0.7309,0.0252
64,0.8565,0.8341,0.5022,0.4105,0.7874,0.8566,0.835,0.5292,0.7367,0.0241
65,0.8611,0.8384,0.5502,0.4454,0.7924,0.8611,0.8393,0.5171,0.7278,0.0239
66,0.8565,0.8341,0.5328,0.4279,0.7864,0.8564,0.8348,0.5246,0.7345,0.0224
67,0.8565,0.8341,0.5415,0.441,0.7863,0.8566,0.835,0.5239,0.7372,0.021
68,0.8611,0.8384,0.5328,0.4323,0.7912,0.8611,0.8393,0.5201,0.7346,0.0242
69,0.8565,0.8341,0.5546,0.4498,0.7887,0.8566,0.835,0.5233,0.7355,0.0211
70,0.8611,0.8384,0.5502,0.4454,0.7911,0.8611,0.8393,0.5166,0.7305,0.0227
71,0.8565,0.8341,0.5546,0.4498,0.7877,0.8564,0.8348,0.5224,0.7353,0.0198
72,0.8565,0.8341,0.5328,0.4279,0.7834,0.8564,0.8348,0.5296,0.7459,0.0204
