epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.588,0.6114,0.2358,0.2358,0.3369,0.4827,0.5086,1.1176,1.3508,1.083
2,0.7083,0.7162,0.2751,0.2533,0.4926,0.6906,0.6989,0.9578,1.1829,0.9268
3,0.8426,0.8253,0.3668,0.3013,0.6978,0.8426,0.8261,0.7168,0.9396,0.646
4,0.8565,0.8253,0.4279,0.3537,0.7251,0.857,0.8269,0.68,0.9036,0.5142
5,0.838,0.7991,0.4192,0.3362,0.7317,0.8388,0.8011,0.6794,0.9027,0.4205
6,0.8611,0.8428,0.4323,0.3493,0.7494,0.8601,0.8425,0.6509,0.8677,0.3457
7,0.8426,0.8035,0.4192,0.3493,0.7297,0.8433,0.8054,0.6641,0.8761,0.3141
8,0.8519,0.8341,0.4716,0.3755,0.7652,0.8516,0.8346,0.6031,0.8198,0.2527
9,0.8287,0.7904,0.4498,0.3624,0.7448,0.8283,0.7916,0.6293,0.8478,0.2243
10,0.838,0.8166,0.4672,0.3886,0.7618,0.8366,0.8163,0.6062,0.8191,0.1881
11,0.8333,0.8035,0.5022,0.4061,0.771,0.834,0.8053,0.5874,0.7983,0.1854
12,0.8519,0.8253,0.4934,0.393,0.7784,0.8516,0.8261,0.5693,0.781,0.1628
13,0.8333,0.7991,0.4672,0.3755,0.754,0.8341,0.8011,0.6157,0.83,0.1475
14,0.8287,0.7904,0.4454,0.3493,0.7436,0.8295,0.7924,0.6317,0.8541,0.1501
15,0.8472,0.8122,0.5197,0.4279,0.7689,0.8475,0.8137,0.567,0.7807,0.1214
16,0.838,0.7991,0.5153,0.4192,0.7438,0.8383,0.8008,0.6196,0.8332,0.1134
17,0.8472,0.8166,0.5197,0.4192,0.773,0.8471,0.8177,0.5566,0.7663,0.108
18,0.8519,0.821,0.5284,0.4279,0.762,0.8519,0.8221,0.5792,0.7927,0.103
19,0.8472,0.8122,0.4847,0.3799,0.7815,0.8478,0.814,0.5892,0.8099,0.1011
20,0.8611,0.8253,0.4847,0.3886,0.7568,0.8615,0.8268,0.5906,0.8082,0.0866
21,0.8565,0.821,0.4716,0.3624,0.7641,0.857,0.8226,0.5736,0.7843,0.0813
22,0.8519,0.8253,0.5066,0.4017,0.7681,0.8516,0.8261,0.5702,0.7796,0.0772
23,0.8472,0.8122,0.524,0.4323,0.7705,0.8475,0.8137,0.5662,0.7697,0.0675
24,0.8472,0.8122,0.5197,0.4192,0.7685,0.8475,0.8137,0.5612,0.7762,0.0694
25,0.8565,0.821,0.5459,0.4279,0.781,0.8568,0.8224,0.5482,0.7622,0.0681
26,0.838,0.8079,0.5066,0.4017,0.7897,0.8376,0.8087,0.535,0.7497,0.0601
27,0.8657,0.8341,0.524,0.4148,0.7816,0.8658,0.8352,0.5422,0.7531,0.0567
28,0.8519,0.821,0.5459,0.4454,0.7872,0.8519,0.8221,0.5274,0.7371,0.0544
29,0.8519,0.8166,0.5153,0.4148,0.7801,0.8525,0.8183,0.5497,0.7653,0.0516
30,0.8611,0.8297,0.5197,0.4105,0.7827,0.8616,0.8312,0.5429,0.7522,0.0509
31,0.8472,0.8253,0.5546,0.4541,0.7776,0.8475,0.8265,0.5411,0.745,0.0554
32,0.8657,0.8341,0.559,0.4541,0.787,0.8658,0.8352,0.5362,0.7439,0.0451
33,0.8565,0.8253,0.5415,0.4323,0.7809,0.8566,0.8265,0.535,0.7471,0.0553
34,0.8519,0.8166,0.4934,0.3886,0.7807,0.8519,0.8178,0.5538,0.7652,0.0482
35,0.8519,0.821,0.5415,0.4279,0.7869,0.8522,0.8224,0.5218,0.7304,0.044
36,0.8472,0.821,0.5284,0.4236,0.7863,0.8469,0.8217,0.5314,0.7429,0.0437
37,0.8611,0.8384,0.5022,0.3974,0.7843,0.8601,0.8383,0.5305,0.7365,0.0398
38,0.8519,0.821,0.5153,0.4017,0.7801,0.8524,0.8225,0.5348,0.7428,0.0401
39,0.8519,0.821,0.5109,0.4017,0.7836,0.8519,0.8221,0.5367,0.7459,0.0391
40,0.8519,0.821,0.524,0.4279,0.7813,0.8519,0.8221,0.5373,0.7453,0.0412
41,0.8426,0.8166,0.5328,0.4192,0.7773,0.8424,0.8174,0.5463,0.7575,0.0351
42,0.8519,0.821,0.4891,0.393,0.7705,0.8524,0.8225,0.5604,0.7698,0.038
43,0.838,0.8079,0.5852,0.4803,0.7808,0.8378,0.809,0.5267,0.7281,0.0346
44,0.8611,0.8297,0.524,0.4279,0.7859,0.8613,0.8309,0.5313,0.736,0.0354
45,0.8611,0.8341,0.5109,0.4017,0.7809,0.8613,0.8352,0.551,0.7612,0.033
46,0.8519,0.8253,0.5284,0.4323,0.7887,0.8519,0.8263,0.5262,0.7357,0.0379
47,0.8519,0.821,0.5459,0.4323,0.7829,0.8519,0.8221,0.5335,0.7401,0.0325
48,0.8519,0.8297,0.5328,0.4236,0.7819,0.8516,0.8304,0.5391,0.7457,0.0331
49,0.8426,0.8166,0.5546,0.4498,0.784,0.8426,0.8177,0.5234,0.7286,0.0334
50,0.8426,0.8166,0.5459,0.4323,0.7867,0.8428,0.8178,0.5275,0.7327,0.0313
51,0.8519,0.821,0.5328,0.4236,0.7855,0.8524,0.8225,0.5288,0.7368,0.0325
52,0.8519,0.8253,0.524,0.4105,0.784,0.8519,0.8263,0.5315,0.7424,0.0289
53,0.8611,0.8341,0.5153,0.4061,0.7861,0.8613,0.8352,0.5287,0.738,0.0308
54,0.8519,0.8297,0.5459,0.441,0.7823,0.8519,0.8306,0.5285,0.7337,0.028
55,0.8565,0.8253,0.5371,0.4367,0.7798,0.8569,0.8268,0.547,0.7565,0.0288
56,0.8519,0.8166,0.5415,0.4323,0.7839,0.852,0.818,0.5309,0.737,0.026
57,0.8519,0.8253,0.5459,0.4323,0.7873,0.8519,0.8263,0.5236,0.7289,0.027
58,0.8565,0.8297,0.5459,0.4367,0.7866,0.8566,0.8308,0.523,0.7251,0.0241
59,0.8519,0.821,0.5502,0.441,0.7858,0.852,0.8223,0.5254,0.7305,0.0264
60,0.8565,0.8253,0.5546,0.4454,0.7816,0.8566,0.8265,0.5343,0.74,0.0248
61,0.8472,0.8079,0.5459,0.4367,0.7819,0.8475,0.8095,0.5312,0.7363,0.0248
62,0.8519,0.821,0.559,0.4454,0.789,0.8519,0.8221,0.5225,0.7309,0.0256
63,0.8611,0.8384,0.5502,0.441,0.7888,0.8611,0.8393,0.5188,0.7198,0.0231
64,0.8565,0.8341,0.559,0.4498,0.7874,0.8566,0.835,0.5187,0.7229,0.024
65,0.8611,0.8384,0.5459,0.4323,0.7832,0.8611,0.8393,0.5301,0.7365,0.0228
66,0.8611,0.8297,0.5459,0.4367,0.7876,0.8613,0.8309,0.52,0.7242,0.0228
67,0.8519,0.821,0.5415,0.4367,0.7851,0.8522,0.8224,0.5282,0.7378,0.0204
68,0.8565,0.8297,0.5459,0.4323,0.7907,0.8566,0.8308,0.5209,0.7285,0.0234
69,0.8657,0.8428,0.5197,0.4148,0.7928,0.8658,0.8437,0.5169,0.7235,0.0211
70,0.8519,0.821,0.559,0.4498,0.786,0.852,0.8223,0.5306,0.7408,0.0207
71,0.8611,0.8297,0.5415,0.4367,0.7827,0.8615,0.8311,0.5299,0.7395,0.0234
72,0.8519,0.821,0.5459,0.4367,0.7844,0.852,0.8223,0.5307,0.7389,0.02
73,0.8565,0.8297,0.5328,0.4279,0.7863,0.8566,0.8308,0.5301,0.7391,0.0207
74,0.8519,0.8253,0.5284,0.4279,0.7842,0.8519,0.8263,0.5328,0.7411,0.0192
