epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.537,0.559,0.2183,0.2183,-0.0837,0.4512,0.476,1.2052,1.4425,1.0781
2,0.5741,0.5939,0.1703,0.1703,0.2125,0.4951,0.5175,1.1432,1.3798,0.9846
3,0.838,0.8253,0.3755,0.3188,0.679,0.837,0.825,0.7543,0.9789,0.7329
4,0.8519,0.8297,0.3843,0.3188,0.723,0.852,0.8308,0.6788,0.8993,0.5446
5,0.8426,0.821,0.441,0.3668,0.7347,0.8426,0.8219,0.6478,0.8672,0.4753
6,0.8287,0.8122,0.4672,0.3799,0.7379,0.8265,0.8109,0.6494,0.8671,0.3899
7,0.8102,0.786,0.4323,0.3319,0.7427,0.811,0.788,0.6504,0.8688,0.3079
8,0.838,0.8122,0.441,0.3581,0.7561,0.8383,0.8136,0.6233,0.8417,0.2868
9,0.8287,0.8079,0.4454,0.3581,0.7471,0.8288,0.809,0.6128,0.8281,0.2476
10,0.8519,0.8341,0.4847,0.3755,0.7589,0.8516,0.8346,0.585,0.7973,0.2218
11,0.838,0.8166,0.441,0.3275,0.763,0.8381,0.8177,0.6067,0.8273,0.1956
12,0.8519,0.821,0.5153,0.4105,0.7779,0.8511,0.8214,0.5596,0.7693,0.1731
13,0.8472,0.8297,0.4585,0.3886,0.7625,0.8463,0.8295,0.6061,0.8175,0.1619
14,0.8333,0.8297,0.4323,0.345,0.7678,0.8294,0.826,0.6122,0.8314,0.1503
15,0.8472,0.8253,0.5328,0.4236,0.7829,0.8471,0.8261,0.5358,0.7474,0.1305
16,0.8565,0.8384,0.4803,0.3755,0.7884,0.8559,0.8386,0.5469,0.7558,0.1248
17,0.8426,0.8166,0.4541,0.3581,0.7718,0.8431,0.8181,0.5576,0.7693,0.1104
18,0.8704,0.8428,0.476,0.3755,0.7818,0.8707,0.844,0.5355,0.746,0.0968
19,0.8472,0.8253,0.5197,0.4148,0.781,0.8479,0.8269,0.5458,0.7538,0.1018
20,0.8426,0.8253,0.5153,0.4148,0.7782,0.8424,0.8259,0.5446,0.7504,0.0914
21,0.8565,0.8297,0.5459,0.4279,0.7885,0.8571,0.8313,0.5465,0.7523,0.0914
22,0.8565,0.8341,0.5284,0.4105,0.7792,0.857,0.8355,0.5562,0.7718,0.0824
23,0.8611,0.8341,0.4585,0.3755,0.7883,0.8617,0.8356,0.5457,0.7549,0.0751
24,0.8611,0.8428,0.5153,0.4192,0.7944,0.8613,0.8437,0.5203,0.7247,0.0669
25,0.8472,0.8253,0.524,0.4236,0.7799,0.8475,0.8265,0.5507,0.7636,0.0661
26,0.8426,0.8253,0.5459,0.441,0.7995,0.8421,0.8256,0.5118,0.7207,0.0656
