epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5926,0.6026,0.214,0.214,0.2207,0.5444,0.5576,1.1418,1.3737,1.064
2,0.6713,0.6769,0.2271,0.2271,0.419,0.6513,0.6581,1.0241,1.2582,0.9614
3,0.8194,0.8035,0.3712,0.3057,0.6712,0.8184,0.8033,0.7426,0.9613,0.7374
4,0.8611,0.8384,0.4279,0.3581,0.7301,0.8613,0.8395,0.654,0.8708,0.5443
5,0.8426,0.821,0.4585,0.3755,0.7487,0.8424,0.8217,0.6153,0.8336,0.4402
6,0.8611,0.8253,0.4716,0.3886,0.7547,0.8618,0.827,0.604,0.8176,0.3338
7,0.8565,0.8341,0.4672,0.3755,0.7677,0.857,0.8355,0.5849,0.7994,0.2743
8,0.8611,0.8253,0.4498,0.3581,0.7476,0.8617,0.827,0.6182,0.837,0.2325
9,0.8704,0.8472,0.4847,0.393,0.7631,0.8704,0.848,0.5952,0.8183,0.2041
10,0.8611,0.8341,0.5197,0.4236,0.7713,0.8613,0.8352,0.5719,0.786,0.184
11,0.8565,0.8341,0.476,0.3712,0.777,0.8568,0.8352,0.5781,0.7949,0.1559
12,0.8704,0.8341,0.4847,0.3886,0.7712,0.8708,0.8356,0.5689,0.7821,0.1595
13,0.8333,0.8079,0.5109,0.4148,0.7671,0.8325,0.8082,0.5995,0.8131,0.14
14,0.8704,0.8297,0.4498,0.3712,0.7653,0.8709,0.8313,0.5921,0.8018,0.1395
15,0.8565,0.8253,0.4803,0.3974,0.7783,0.8568,0.8267,0.5517,0.7626,0.1203
16,0.8704,0.8341,0.4891,0.393,0.7814,0.8709,0.8356,0.551,0.7617,0.108
17,0.8611,0.8341,0.4891,0.3886,0.7886,0.8611,0.835,0.5503,0.7708,0.1002
18,0.8472,0.8166,0.5022,0.4061,0.7749,0.8469,0.8174,0.5636,0.7714,0.0943
19,0.8657,0.8341,0.4847,0.3799,0.7834,0.8661,0.8355,0.5524,0.7645,0.0837
20,0.8565,0.8341,0.5153,0.4061,0.7791,0.8564,0.8348,0.5714,0.782,0.0844
21,0.8611,0.8297,0.5328,0.4279,0.7836,0.8617,0.8313,0.5385,0.7502,0.0779
22,0.8519,0.821,0.4847,0.393,0.7759,0.8524,0.8225,0.5508,0.7639,0.0751
23,0.8565,0.8341,0.5284,0.4236,0.7836,0.8566,0.835,0.5367,0.7505,0.0731
24,0.8472,0.8166,0.5109,0.4017,0.7755,0.8478,0.8182,0.5512,0.7683,0.064
25,0.8611,0.8341,0.4585,0.3886,0.7746,0.8616,0.8355,0.5591,0.7695,0.0672
26,0.8565,0.8297,0.5197,0.4192,0.7768,0.8569,0.8311,0.5431,0.7531,0.0572
27,0.8519,0.8297,0.4934,0.3974,0.7825,0.8516,0.8304,0.5407,0.7487,0.055
28,0.8611,0.8297,0.5197,0.4192,0.7831,0.8616,0.8312,0.5332,0.7473,0.0567
29,0.8704,0.8384,0.4847,0.393,0.7792,0.8709,0.8399,0.5419,0.753,0.054
30,0.8565,0.8297,0.4978,0.393,0.7836,0.8566,0.8308,0.5384,0.745,0.0485
31,0.8565,0.8297,0.5066,0.4061,0.787,0.8568,0.8309,0.5405,0.7543,0.0501
32,0.8611,0.8341,0.5109,0.4105,0.7879,0.8615,0.8353,0.5302,0.7447,0.048
33,0.8426,0.821,0.4978,0.3974,0.7785,0.8426,0.8219,0.545,0.758,0.0475
34,0.8704,0.8472,0.524,0.4192,0.7897,0.8705,0.8481,0.5304,0.7403,0.0431
35,0.8657,0.8384,0.5153,0.4105,0.7872,0.8661,0.8397,0.5256,0.738,0.0437
36,0.8611,0.8341,0.5197,0.4148,0.7985,0.8613,0.8352,0.5081,0.7219,0.0406
37,0.8657,0.8384,0.5371,0.4367,0.7968,0.8658,0.8395,0.5162,0.7246,0.0389
38,0.8657,0.8384,0.524,0.4367,0.7879,0.8661,0.8397,0.5208,0.7302,0.0388
39,0.8565,0.8297,0.5459,0.441,0.7882,0.8568,0.8309,0.5247,0.7365,0.0391
40,0.8611,0.8341,0.5197,0.4148,0.7908,0.8616,0.8355,0.5312,0.7451,0.04
41,0.8472,0.821,0.4891,0.4017,0.7815,0.8477,0.8224,0.5385,0.751,0.0367
42,0.8611,0.8384,0.5109,0.4061,0.7868,0.8611,0.8393,0.5328,0.7497,0.0374
43,0.8611,0.8341,0.5066,0.4017,0.7889,0.8615,0.8353,0.5322,0.7459,0.0339
44,0.8704,0.8428,0.524,0.4192,0.7882,0.8709,0.8442,0.5265,0.7413,0.0387
45,0.8519,0.8297,0.5197,0.4148,0.7871,0.8516,0.8304,0.5365,0.7493,0.0347
46,0.8565,0.8297,0.4978,0.3974,0.7858,0.8569,0.8311,0.5313,0.7452,0.0331
47,0.8611,0.8341,0.5022,0.3974,0.7867,0.8613,0.8352,0.5328,0.7482,0.0322
48,0.8611,0.8341,0.5066,0.4061,0.7844,0.8617,0.8356,0.5334,0.7468,0.0331
49,0.8611,0.8341,0.5153,0.4061,0.7865,0.8613,0.8352,0.5281,0.7411,0.0298
50,0.8657,0.8384,0.5022,0.3974,0.7812,0.8658,0.8395,0.5353,0.7502,0.0299
51,0.8657,0.8384,0.5197,0.4148,0.7902,0.866,0.8396,0.5273,0.7397,0.0299
52,0.8657,0.8384,0.5109,0.4061,0.7875,0.8658,0.8395,0.5294,0.7448,0.0294
53,0.8657,0.8384,0.4672,0.3712,0.7829,0.866,0.8396,0.5484,0.7635,0.0285
54,0.8704,0.8428,0.4978,0.393,0.7856,0.8705,0.8439,0.5353,0.7556,0.0276
55,0.8565,0.8297,0.4978,0.3974,0.7835,0.857,0.8312,0.5456,0.7633,0.0279
56,0.8611,0.8341,0.5109,0.3974,0.788,0.8613,0.8352,0.5304,0.7445,0.0287
57,0.8611,0.8341,0.5066,0.3974,0.7911,0.8611,0.835,0.5278,0.7414,0.0246
58,0.8611,0.8341,0.5022,0.3974,0.7896,0.8611,0.835,0.5345,0.7511,0.0241
59,0.8704,0.8428,0.4978,0.393,0.7865,0.8705,0.8439,0.5316,0.7459,0.0261
60,0.8704,0.8428,0.4934,0.3886,0.7881,0.8705,0.8439,0.5298,0.7466,0.0263
61,0.8704,0.8428,0.4978,0.393,0.7918,0.8708,0.8441,0.5248,0.742,0.0252
62,0.8565,0.8297,0.476,0.3799,0.7872,0.8564,0.8306,0.5392,0.7542,0.0244
63,0.875,0.8472,0.4672,0.3712,0.7867,0.8752,0.8483,0.5365,0.7519,0.0264
64,0.8657,0.8384,0.4891,0.3843,0.7862,0.8658,0.8395,0.5384,0.7512,0.0243
65,0.8657,0.8384,0.4891,0.3843,0.7848,0.8661,0.8397,0.5347,0.7512,0.0221
66,0.875,0.8472,0.4847,0.3843,0.7882,0.8754,0.8484,0.5266,0.7448,0.0226
