epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
62,0.8611,0.8341,0.5284,0.4279,0.7936,0.8615,0.8353,0.5101,0.7163,0.0263
63,0.8565,0.8341,0.5153,0.4279,0.7997,0.8568,0.8352,0.5041,0.7116,0.0265
64,0.8611,0.8341,0.524,0.4454,0.7932,0.8615,0.8353,0.514,0.7202,0.0257
65,0.8611,0.8341,0.5153,0.4148,0.7944,0.8615,0.8353,0.5163,0.726,0.0242
66,0.8611,0.8384,0.5109,0.4017,0.7996,0.8613,0.8395,0.518,0.7328,0.0223
67,0.8565,0.8341,0.5284,0.4279,0.8037,0.8566,0.835,0.498,0.7067,0.0236
68,0.8472,0.8253,0.5197,0.4148,0.8025,0.8473,0.8263,0.5116,0.7237,0.0239
69,0.8611,0.8384,0.5197,0.4148,0.8037,0.8615,0.8396,0.5046,0.7118,0.0213
70,0.8472,0.8253,0.524,0.4192,0.8064,0.8471,0.8261,0.4987,0.705,0.0232
71,0.8519,0.8297,0.5066,0.4061,0.8055,0.8516,0.8304,0.5009,0.7083,0.0228
72,0.8657,0.8384,0.5328,0.4323,0.7985,0.866,0.8396,0.5013,0.7063,0.0209
73,0.8472,0.8253,0.5284,0.4236,0.8054,0.8469,0.8259,0.5032,0.7114,0.024
74,0.8611,0.8384,0.524,0.4236,0.7984,0.8615,0.8396,0.5072,0.7134,0.0199
75,0.8472,0.8253,0.5153,0.4148,0.8057,0.8473,0.8263,0.4998,0.7063,0.0208
76,0.8519,0.8297,0.5153,0.4148,0.8061,0.8519,0.8306,0.4951,0.7021,0.0185
77,0.8611,0.8297,0.5153,0.4105,0.8019,0.8615,0.8311,0.5059,0.7154,0.0192
78,0.8611,0.8341,0.5066,0.393,0.8028,0.8615,0.8353,0.5054,0.7147,0.0194
79,0.8565,0.8341,0.5022,0.3974,0.8014,0.8568,0.8352,0.5161,0.7268,0.0179
80,0.8519,0.8297,0.5109,0.4105,0.8024,0.852,0.8308,0.5036,0.7101,0.0201
