epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5833,0.607,0.2314,0.2314,0.3445,0.4469,0.4746,1.1284,1.3621,1.0753
2,0.7361,0.7205,0.2969,0.262,0.516,0.7333,0.7194,0.9235,1.1511,0.9577
3,0.7778,0.7424,0.3493,0.2882,0.6812,0.7783,0.7435,0.7777,1.0005,0.7006
4,0.8333,0.8122,0.3755,0.3057,0.7176,0.834,0.8139,0.6757,0.9007,0.5954
5,0.8472,0.821,0.4061,0.3362,0.7505,0.8473,0.8221,0.6302,0.8525,0.479
6,0.8472,0.8166,0.4498,0.3537,0.7527,0.8475,0.818,0.6113,0.8306,0.392
7,0.8519,0.8166,0.4803,0.3755,0.7469,0.8519,0.8178,0.6447,0.8587,0.3478
8,0.8333,0.8079,0.4672,0.3712,0.7628,0.8325,0.8082,0.6038,0.8163,0.3044
9,0.8426,0.8122,0.4585,0.3493,0.7614,0.8426,0.8134,0.6075,0.8196,0.2609
10,0.8426,0.8253,0.4934,0.3843,0.7567,0.8424,0.8259,0.6027,0.811,0.2366
11,0.8241,0.786,0.5022,0.3886,0.7588,0.8238,0.7874,0.5979,0.8036,0.2124
12,0.8287,0.7948,0.5066,0.393,0.7592,0.8294,0.7967,0.5935,0.7983,0.1906
13,0.8287,0.7991,0.4716,0.3712,0.7716,0.829,0.8007,0.5851,0.8013,0.1696
14,0.8426,0.8122,0.4629,0.3712,0.7829,0.8426,0.8134,0.5708,0.786,0.1443
15,0.8519,0.8341,0.4978,0.4236,0.7879,0.8522,0.8352,0.5286,0.731,0.1457
16,0.838,0.8166,0.5022,0.4017,0.7782,0.8384,0.818,0.5544,0.7572,0.1259
17,0.838,0.8166,0.524,0.4323,0.7852,0.8376,0.8172,0.5408,0.749,0.11
18,0.8519,0.8341,0.5197,0.4454,0.7846,0.8511,0.8341,0.5404,0.7473,0.116
19,0.8426,0.8253,0.5328,0.4236,0.7826,0.8424,0.8259,0.5398,0.7478,0.1044
20,0.8287,0.8079,0.524,0.4367,0.7872,0.8292,0.8093,0.5316,0.7388,0.0884
21,0.8426,0.821,0.5371,0.4541,0.7829,0.8424,0.8217,0.5522,0.7582,0.0892
22,0.8426,0.8079,0.5197,0.4148,0.7904,0.843,0.8095,0.5192,0.7293,0.0771
23,0.8519,0.821,0.5546,0.4629,0.7898,0.8525,0.8226,0.5154,0.717,0.0759
24,0.8287,0.8035,0.5284,0.4236,0.7949,0.829,0.8049,0.515,0.7215,0.0762
25,0.8519,0.8253,0.5721,0.476,0.8008,0.852,0.8265,0.4924,0.6974,0.0674
