epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
62,0.8426,0.8166,0.5328,0.4367,0.7925,0.843,0.818,0.5108,0.7172,0.025
63,0.8519,0.8253,0.5284,0.4323,0.7932,0.8522,0.8267,0.5143,0.7228,0.0254
64,0.8472,0.821,0.4978,0.4017,0.7861,0.8477,0.8224,0.5292,0.7394,0.0239
65,0.8519,0.8253,0.4891,0.3974,0.7929,0.8522,0.8267,0.5229,0.7325,0.0218
66,0.8519,0.8253,0.5066,0.4061,0.7937,0.8516,0.8261,0.5281,0.7401,0.0242
67,0.8472,0.821,0.5371,0.441,0.797,0.8477,0.8224,0.5104,0.7184,0.0254
68,0.8472,0.821,0.5328,0.4236,0.7936,0.8478,0.8225,0.5164,0.7246,0.0225
69,0.8519,0.8253,0.5415,0.4367,0.799,0.8522,0.8267,0.5068,0.7145,0.0209
70,0.8472,0.821,0.5459,0.441,0.7987,0.8475,0.8223,0.5087,0.7156,0.0227
71,0.838,0.8122,0.5197,0.4236,0.7992,0.8378,0.8132,0.5088,0.7151,0.0211
72,0.8565,0.8297,0.5459,0.4454,0.7867,0.8572,0.8313,0.5151,0.7136,0.0211
73,0.8333,0.8079,0.5459,0.4454,0.7926,0.8337,0.8093,0.51,0.7122,0.0229
74,0.8472,0.821,0.5459,0.4498,0.7916,0.8475,0.8223,0.5142,0.7191,0.0195
75,0.8426,0.8166,0.5371,0.441,0.7947,0.8428,0.8178,0.5126,0.7175,0.0199
