epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5741,0.5983,0.1878,0.1878,0.0727,0.4797,0.5058,1.1776,1.4138,1.0882
2,0.7037,0.6987,0.2183,0.2183,0.3813,0.7033,0.6994,1.0556,1.2887,0.9614
3,0.8148,0.7904,0.3493,0.2969,0.6851,0.8158,0.7924,0.7471,0.9709,0.7096
4,0.8565,0.8297,0.4017,0.3319,0.7101,0.8566,0.8308,0.68,0.8998,0.543
5,0.8333,0.8122,0.4017,0.3362,0.733,0.8328,0.8127,0.6678,0.8863,0.4597
6,0.8426,0.8166,0.4541,0.3581,0.7382,0.8428,0.8178,0.628,0.8446,0.3763
7,0.8333,0.8166,0.4279,0.3493,0.7398,0.8318,0.8159,0.655,0.8714,0.3354
8,0.8333,0.8166,0.441,0.3624,0.7321,0.8314,0.8155,0.6612,0.8794,0.3032
9,0.8472,0.8253,0.441,0.3493,0.7475,0.8469,0.8259,0.6196,0.8372,0.2339
10,0.8472,0.8253,0.4454,0.3668,0.7395,0.8473,0.8263,0.646,0.8661,0.2124
11,0.8426,0.8166,0.4891,0.393,0.7317,0.8428,0.8178,0.6222,0.8334,0.1982
12,0.8519,0.821,0.4803,0.3974,0.7529,0.852,0.8223,0.5906,0.8008,0.1726
13,0.8565,0.8297,0.4934,0.3799,0.7702,0.8571,0.8313,0.5851,0.7984,0.1644
14,0.8426,0.8297,0.5197,0.4279,0.7772,0.8418,0.8295,0.5479,0.7539,0.1472
15,0.8426,0.8297,0.5197,0.4192,0.7704,0.8411,0.8288,0.5784,0.7929,0.125
16,0.8565,0.8341,0.5109,0.4148,0.7652,0.8569,0.8353,0.5623,0.7738,0.1194
17,0.8472,0.821,0.4803,0.3886,0.7596,0.8475,0.8223,0.5877,0.8047,0.1058
18,0.8611,0.8384,0.4978,0.3974,0.7684,0.8604,0.8386,0.5699,0.7814,0.1116
19,0.838,0.8079,0.5197,0.4105,0.7621,0.8386,0.8096,0.5816,0.7941,0.099
20,0.8426,0.8122,0.5197,0.4279,0.7648,0.8433,0.814,0.5834,0.798,0.0855
21,0.8611,0.8297,0.5197,0.4148,0.7771,0.8615,0.8311,0.5557,0.7641,0.0798
22,0.838,0.8166,0.5109,0.4061,0.7714,0.8381,0.8177,0.5546,0.7672,0.0817
23,0.8426,0.8253,0.5109,0.4192,0.763,0.843,0.8265,0.5645,0.7757,0.0793
24,0.8426,0.821,0.5197,0.4279,0.7696,0.843,0.8223,0.5515,0.766,0.0664
25,0.8426,0.8079,0.4934,0.4105,0.7672,0.8432,0.8097,0.5664,0.7777,0.0701
26,0.8519,0.8253,0.5415,0.4629,0.7723,0.8524,0.8268,0.5387,0.7477,0.0613
27,0.8472,0.821,0.5197,0.4279,0.7651,0.8478,0.8225,0.5619,0.7723,0.0617
28,0.8565,0.8297,0.5066,0.4236,0.7739,0.857,0.8312,0.5492,0.7542,0.0565
29,0.8519,0.821,0.5066,0.4105,0.7684,0.8526,0.8227,0.5647,0.782,0.0647
30,0.8565,0.8297,0.5197,0.4279,0.777,0.8568,0.8309,0.5374,0.7448,0.0495
31,0.8565,0.8253,0.524,0.4236,0.7747,0.857,0.8269,0.5398,0.7498,0.0545
32,0.875,0.8559,0.524,0.4192,0.7771,0.8745,0.856,0.535,0.7406,0.05
33,0.8611,0.8341,0.5022,0.4105,0.7737,0.8611,0.835,0.5438,0.757,0.0472
34,0.8565,0.8297,0.5284,0.4323,0.7725,0.857,0.8312,0.5379,0.7469,0.0488
35,0.8704,0.8428,0.4934,0.3974,0.7817,0.8705,0.8439,0.5354,0.7434,0.0458
36,0.8611,0.8297,0.5066,0.4105,0.7793,0.8616,0.8312,0.5485,0.7602,0.0414
37,0.8657,0.8384,0.524,0.4236,0.7833,0.8663,0.8398,0.5233,0.7298,0.0457
38,0.8611,0.8341,0.5109,0.4148,0.7774,0.8617,0.8356,0.5372,0.7479,0.0391
39,0.8519,0.8253,0.5459,0.4498,0.7813,0.8525,0.8269,0.5303,0.7399,0.0368
40,0.8519,0.8297,0.4672,0.3755,0.7774,0.8524,0.8311,0.5443,0.7561,0.0415
41,0.8611,0.8341,0.5109,0.4148,0.78,0.8616,0.8355,0.5227,0.7293,0.0362
42,0.8657,0.8384,0.5153,0.441,0.7842,0.8661,0.8397,0.5298,0.7363,0.0359
43,0.8611,0.8341,0.5371,0.4498,0.783,0.8616,0.8355,0.5214,0.7262,0.0348
44,0.8519,0.8341,0.5328,0.4279,0.7857,0.8516,0.8346,0.5297,0.7402,0.0354
45,0.8611,0.8341,0.524,0.441,0.7905,0.8615,0.8353,0.5099,0.7169,0.0348
46,0.8519,0.8253,0.5153,0.4148,0.789,0.8525,0.8269,0.528,0.7383,0.0347
47,0.8657,0.8428,0.5371,0.4498,0.7922,0.8663,0.8441,0.5082,0.7134,0.0352
48,0.8611,0.8341,0.4847,0.393,0.7857,0.8617,0.8356,0.5284,0.7409,0.0306
49,0.8611,0.8384,0.5153,0.4192,0.7832,0.8617,0.8398,0.525,0.7371,0.0319
50,0.8611,0.8428,0.5502,0.4498,0.7883,0.8615,0.8439,0.5194,0.731,0.0286
