epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5648,0.5895,0.2009,0.2009,-0.0539,0.444,0.4718,1.194,1.4288,1.0708
2,0.662,0.6725,0.2009,0.2009,0.3391,0.645,0.656,1.0925,1.3215,0.9605
3,0.787,0.7511,0.3319,0.2838,0.6596,0.788,0.753,0.8145,1.0413,0.7065
4,0.8194,0.786,0.3799,0.3144,0.7015,0.8203,0.7881,0.7217,0.9505,0.5163
5,0.8333,0.8122,0.3493,0.2882,0.7208,0.8318,0.8117,0.6932,0.9165,0.4175
6,0.8287,0.8035,0.4454,0.345,0.7291,0.8265,0.8025,0.6526,0.8746,0.3497
7,0.8102,0.7817,0.4192,0.3057,0.7205,0.8109,0.7836,0.6691,0.8897,0.2948
8,0.8333,0.7991,0.4672,0.3581,0.7391,0.8333,0.8005,0.6317,0.8443,0.2577
9,0.8194,0.7817,0.4236,0.3231,0.7525,0.8204,0.7837,0.6381,0.8595,0.2191
10,0.8426,0.8297,0.4629,0.3493,0.7466,0.8403,0.828,0.6144,0.8304,0.1981
11,0.8333,0.8035,0.4105,0.3231,0.7637,0.8337,0.8051,0.6437,0.873,0.1744
12,0.8426,0.8122,0.476,0.3668,0.7467,0.8426,0.8134,0.6247,0.8432,0.169
13,0.8287,0.8035,0.4934,0.3843,0.764,0.8286,0.8045,0.5878,0.8058,0.1564
14,0.8426,0.8166,0.5284,0.4148,0.7714,0.8415,0.8166,0.5716,0.7873,0.1415
15,0.838,0.8122,0.4541,0.3537,0.7748,0.8386,0.8139,0.5744,0.7893,0.1226
16,0.838,0.8079,0.4847,0.3799,0.7727,0.8383,0.8093,0.5634,0.7828,0.1089
17,0.8194,0.7948,0.476,0.3799,0.7636,0.8187,0.7953,0.5843,0.8025,0.1041
18,0.8287,0.8079,0.4978,0.3974,0.7714,0.8269,0.8071,0.571,0.7764,0.1032
19,0.838,0.8122,0.5109,0.4017,0.7645,0.8381,0.8134,0.5729,0.7858,0.092
20,0.8287,0.7991,0.476,0.3668,0.7734,0.8288,0.8005,0.5652,0.7821,0.0878
