epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5833,0.6026,0.2227,0.2227,0.2385,0.4542,0.4791,1.1535,1.3869,1.0727
2,0.6852,0.6856,0.2227,0.2227,0.4533,0.6788,0.6803,1.0299,1.2643,0.9536
3,0.8009,0.7686,0.3275,0.2664,0.6959,0.802,0.7706,0.7614,0.9888,0.6811
4,0.8519,0.821,0.4061,0.3275,0.7371,0.8524,0.8225,0.6595,0.8777,0.5123
5,0.8519,0.8253,0.393,0.3057,0.7437,0.8516,0.8261,0.6466,0.8683,0.423
6,0.8657,0.8341,0.4236,0.3362,0.7516,0.8663,0.8356,0.6312,0.8513,0.3831
7,0.8565,0.821,0.476,0.3712,0.751,0.8569,0.8225,0.6287,0.8449,0.3083
8,0.8426,0.8122,0.4716,0.3755,0.7781,0.8403,0.8113,0.5852,0.8026,0.2609
9,0.838,0.8122,0.4891,0.3799,0.7729,0.8381,0.8134,0.5986,0.8219,0.2301
10,0.8565,0.8253,0.4891,0.4017,0.7816,0.8561,0.8261,0.5654,0.7781,0.2017
11,0.8519,0.8253,0.4716,0.3886,0.7754,0.8505,0.825,0.605,0.8151,0.2008
12,0.8657,0.8341,0.4891,0.3843,0.7843,0.8661,0.8355,0.5526,0.7639,0.1824
13,0.8611,0.8297,0.4847,0.3886,0.7863,0.8609,0.8306,0.5588,0.7754,0.154
14,0.8565,0.8253,0.4891,0.3843,0.7764,0.8561,0.8261,0.5712,0.791,0.1319
15,0.8657,0.8341,0.5022,0.4017,0.7827,0.8652,0.8346,0.558,0.7767,0.1268
16,0.8704,0.8428,0.5153,0.4017,0.7856,0.8707,0.844,0.5381,0.746,0.1149
17,0.8611,0.8297,0.5415,0.4498,0.7901,0.8607,0.8304,0.5304,0.7294,0.1073
18,0.8611,0.8341,0.476,0.3755,0.796,0.8604,0.8343,0.5507,0.7664,0.105
19,0.8611,0.8341,0.4716,0.3755,0.7744,0.8609,0.8348,0.5833,0.8008,0.1054
20,0.875,0.8428,0.5197,0.4279,0.7924,0.8752,0.844,0.5165,0.7277,0.0856
21,0.8565,0.8297,0.5284,0.4323,0.7881,0.8561,0.8304,0.5278,0.7325,0.0841
22,0.8611,0.8384,0.5371,0.4367,0.7964,0.8609,0.8391,0.5217,0.7317,0.0748
23,0.875,0.8428,0.5415,0.4629,0.7992,0.8752,0.844,0.5087,0.7092,0.0702
24,0.8657,0.8341,0.4716,0.3624,0.7951,0.8658,0.8352,0.5286,0.7446,0.0693
25,0.8704,0.8428,0.5546,0.4541,0.7935,0.8705,0.8439,0.5063,0.7119,0.0619
26,0.8657,0.8384,0.5153,0.4148,0.796,0.8656,0.8393,0.5082,0.7144,0.0619
27,0.8704,0.8384,0.4978,0.4017,0.7851,0.8707,0.8397,0.5388,0.7541,0.0617
28,0.8565,0.821,0.5284,0.4367,0.7936,0.8564,0.8221,0.5099,0.7181,0.0551
29,0.8704,0.8428,0.5022,0.4061,0.7932,0.8705,0.8439,0.5084,0.7142,0.0526
30,0.8657,0.8297,0.4978,0.3974,0.7986,0.866,0.8311,0.5224,0.7412,0.0514
31,0.875,0.8428,0.5153,0.4105,0.7967,0.8754,0.8441,0.5159,0.7276,0.0527
32,0.8519,0.8253,0.5502,0.4454,0.7962,0.8516,0.8261,0.5017,0.7106,0.0464
33,0.8704,0.8428,0.5459,0.4367,0.8004,0.8707,0.844,0.5026,0.7069,0.0467
34,0.8657,0.8384,0.5197,0.4105,0.7926,0.866,0.8396,0.5215,0.7333,0.0505
35,0.8611,0.8341,0.5153,0.4061,0.7968,0.8611,0.835,0.5134,0.7313,0.0474
36,0.8657,0.8384,0.524,0.4105,0.7979,0.8658,0.8395,0.5139,0.724,0.046
37,0.8611,0.8341,0.5328,0.4192,0.7914,0.8609,0.8348,0.5149,0.7282,0.0425
38,0.8657,0.8384,0.5066,0.3974,0.7879,0.8658,0.8395,0.5286,0.7427,0.042
39,0.8704,0.8384,0.5153,0.4236,0.799,0.8705,0.8396,0.5089,0.7152,0.0351
40,0.8657,0.8384,0.5153,0.4105,0.7972,0.8658,0.8395,0.5077,0.7184,0.0424
41,0.8657,0.8384,0.4978,0.3974,0.7936,0.8658,0.8395,0.5199,0.7316,0.0371
42,0.875,0.8472,0.4934,0.3843,0.7909,0.8752,0.8483,0.523,0.7347,0.0376
43,0.8565,0.8297,0.5109,0.4017,0.7947,0.8561,0.8304,0.5164,0.7272,0.0339
44,0.8611,0.8253,0.5109,0.3974,0.7975,0.8613,0.8267,0.5191,0.7328,0.0339
45,0.8657,0.8384,0.5153,0.4192,0.7955,0.8658,0.8395,0.5117,0.7197,0.0337
46,0.8657,0.8384,0.5109,0.4105,0.7915,0.866,0.8396,0.5212,0.7323,0.0339
