epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5741,0.5983,0.2489,0.2489,0.3242,0.4187,0.4479,1.1383,1.3746,1.0871
2,0.7361,0.7336,0.262,0.2402,0.5667,0.7319,0.7303,0.9237,1.1511,0.9696
3,0.8148,0.7817,0.3275,0.2576,0.718,0.8158,0.7837,0.7358,0.9646,0.6915
4,0.8519,0.821,0.4148,0.3319,0.7417,0.8524,0.8225,0.6459,0.8635,0.5657
5,0.8519,0.8253,0.4541,0.3537,0.7597,0.8524,0.8268,0.6099,0.8305,0.4685
6,0.8426,0.8122,0.4236,0.3188,0.7588,0.8434,0.8141,0.6334,0.8552,0.437
7,0.8426,0.8122,0.4585,0.3406,0.7716,0.8431,0.8139,0.6026,0.8135,0.3649
8,0.8565,0.8341,0.4934,0.3799,0.7789,0.8556,0.8341,0.5618,0.7729,0.2998
9,0.8472,0.8253,0.4716,0.3624,0.785,0.8477,0.8267,0.5872,0.8048,0.2594
10,0.8657,0.8341,0.5153,0.4105,0.7861,0.866,0.8353,0.5735,0.778,0.2347
11,0.8611,0.8341,0.5197,0.4279,0.7979,0.8609,0.8348,0.5272,0.7301,0.2058
12,0.838,0.8166,0.4847,0.3843,0.787,0.8363,0.8159,0.5549,0.7721,0.1779
13,0.8426,0.8166,0.5066,0.4061,0.7839,0.8426,0.8177,0.5445,0.7447,0.1682
14,0.8241,0.7904,0.476,0.3755,0.7767,0.825,0.7922,0.6086,0.8272,0.1496
15,0.8472,0.8122,0.524,0.4279,0.79,0.8478,0.814,0.5258,0.727,0.1611
16,0.8519,0.8341,0.5328,0.4236,0.7977,0.8522,0.8352,0.5105,0.7175,0.1283
17,0.8565,0.8341,0.5459,0.4541,0.7899,0.8566,0.835,0.5222,0.7244,0.107
18,0.838,0.821,0.4978,0.3974,0.7932,0.8358,0.8197,0.54,0.7468,0.1126
19,0.8657,0.8384,0.5415,0.4498,0.7943,0.8654,0.8391,0.5159,0.7197,0.1096
20,0.8472,0.8253,0.5502,0.441,0.7951,0.8475,0.8265,0.5104,0.7114,0.0946
21,0.8565,0.8384,0.5284,0.4236,0.7941,0.8559,0.8386,0.5388,0.7566,0.0791
