epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
62,0.8519,0.8297,0.5371,0.4367,0.791,0.8524,0.8311,0.5152,0.7211,0.0259
63,0.8519,0.8297,0.5546,0.4541,0.7969,0.8525,0.8312,0.5087,0.7126,0.0237
64,0.8565,0.8341,0.559,0.4541,0.7901,0.8569,0.8353,0.515,0.7216,0.0243
65,0.8704,0.8472,0.5328,0.4236,0.7931,0.8707,0.8483,0.515,0.7209,0.0233
66,0.8519,0.8297,0.559,0.4629,0.7954,0.8524,0.8311,0.504,0.7063,0.023
67,0.8657,0.8472,0.559,0.4541,0.7957,0.8661,0.8483,0.5079,0.7134,0.0221
68,0.8657,0.8472,0.5459,0.4454,0.7946,0.866,0.8481,0.5078,0.7125,0.0209
69,0.8611,0.8428,0.5371,0.4323,0.8011,0.8616,0.844,0.5048,0.7129,0.0209
70,0.8611,0.8428,0.5633,0.4585,0.7929,0.8611,0.8435,0.5164,0.7247,0.0215
71,0.8704,0.8515,0.5502,0.441,0.7955,0.8707,0.8525,0.5125,0.7215,0.0226
72,0.8704,0.8515,0.5459,0.441,0.7912,0.8704,0.8522,0.515,0.7211,0.0202
73,0.8704,0.8515,0.559,0.4585,0.7946,0.8705,0.8524,0.5153,0.7214,0.0188
74,0.8611,0.8428,0.5371,0.4367,0.7969,0.8615,0.8439,0.5083,0.7149,0.0198
75,0.8657,0.8472,0.5371,0.4367,0.7949,0.8652,0.8473,0.5146,0.7222,0.0215
76,0.8611,0.8428,0.559,0.4585,0.7922,0.8615,0.8439,0.5156,0.7218,0.0198
77,0.8611,0.8428,0.5633,0.4498,0.7946,0.8611,0.8435,0.5173,0.728,0.0207
78,0.8565,0.8384,0.559,0.4498,0.7922,0.8566,0.8393,0.5141,0.7221,0.0195
79,0.8657,0.8472,0.5502,0.441,0.795,0.8658,0.848,0.5151,0.7233,0.0187
80,0.8565,0.8384,0.5546,0.441,0.7951,0.8564,0.8391,0.5169,0.7285,0.0174
81,0.8611,0.8428,0.5502,0.4498,0.794,0.8609,0.8433,0.5183,0.7265,0.0203
82,0.8565,0.8384,0.559,0.4454,0.7971,0.8568,0.8395,0.5075,0.7176,0.0198
83,0.8519,0.8341,0.5546,0.4498,0.7947,0.852,0.835,0.5131,0.7202,0.018
84,0.8611,0.8384,0.5546,0.4498,0.7943,0.8617,0.8398,0.5033,0.7089,0.0166
85,0.8657,0.8472,0.5502,0.4498,0.7943,0.8661,0.8483,0.5074,0.713,0.0164
86,0.8611,0.8428,0.5633,0.4629,0.7933,0.8616,0.844,0.5116,0.7189,0.0192
87,0.8657,0.8472,0.5721,0.4716,0.794,0.8663,0.8484,0.5144,0.725,0.017
88,0.8519,0.8341,0.559,0.4541,0.7937,0.8522,0.8352,0.5136,0.7218,0.0177
89,0.8519,0.8341,0.5677,0.4629,0.7925,0.8522,0.8352,0.5124,0.7201,0.0172
90,0.8472,0.8297,0.5546,0.4541,0.7937,0.8475,0.8308,0.5175,0.7265,0.0159
91,0.8565,0.8384,0.5415,0.441,0.7939,0.8568,0.8395,0.5131,0.7198,0.0164
92,0.8565,0.8384,0.5546,0.4454,0.7921,0.8569,0.8396,0.5188,0.7276,0.0159
93,0.8565,0.8384,0.5502,0.4498,0.7915,0.8568,0.8395,0.5155,0.7238,0.015
94,0.8519,0.8341,0.559,0.4585,0.7935,0.8524,0.8353,0.5131,0.7231,0.0157
95,0.8519,0.8341,0.5502,0.4498,0.7937,0.852,0.835,0.5134,0.7225,0.0152
96,0.8611,0.8428,0.5459,0.441,0.7943,0.8613,0.8437,0.5155,0.7246,0.015
